English|پښتو
reason|د ليل
reason|دليل/
reason|عامل
reason|علت/
reason|علت/سبب/
reason|کبله  / امله
reason|وجهه
reason(s)|دليل(دلايل)
Reason, cause |سبب / دليل
reasonable|موجه
reasonable price, likely|مناسب
reasonable, acceptable|معقول
reasonable, just, sensible|معقول
reasonableness|پيرزوينه
reasoning|استدلال
reasoning, argumentation|استدلال
reasoning/ logic|استدلال
reasons|دلایل
reasons|عوامل
reasons|وجوهات
reasoring|تعقل
reassurance|اطمینان
reassure|اطمينان کول
reassure|اطمينان ورکول
reassure|ډاډګيرنه ورکول
rebar|سيخ
rebel|سرغړول
rebel|ياغي
rebel|سرکش
rebel, mutineer, insurgent|ياغي
rebelious|متمرد
rebellion|سرکښي
rebellion|ياغيتوب
rebellious|سرکښ
rebellious, mutinous, leader of a flock|سرکښ
rebels|اورپکي
rebels|یاغیان
rebels|ياغيان
rebuild|بيرته جوړول
rebuild|بيا رغول
rebuild|بياجورول
rebuilding|بيارغونی
rebuilding|بيا رغونه
Rebuilding|بيا رغونه / بيا رغونې 
rebuilding|بيارغونه
rebuilding|بيا ودانول
rebuilding |/بيا رغونه
rebuke|هيداد
recall|احضارول
recall|په يادېدل
recall|يادول
Recamouflaging|بيا ستر او اخفا کول
receipt|رسيد
receipt|مقبوض
receipt|رسيد/سند پاڼه/
receive|حاصل
receive|تر لاسه کول
receive education|حاصلول
receive education|تحصيل کول
receive education|تعليم کول
receive tel |غوږۍ
receive training|حاصلول
receive training|روزنه حاصلول
received|رارسيدلو
received or used up in advance|پېشخوره
Receiver|آخذه (نيونکې يا منونکې ﺁله)
receiver  of a telephone |ګوشکه
receiving|ميلاو
recent|متاخر
recent|نننی
recent|وروستى/نږدې/وروستۍ/نږدې
recent times|په اوسنۍ زمانه کى
recent, of today, modern|ننني
recently|اوس اوس
recently|په دى وروستيو کې
reception|هرکلی
reception desk|/د پذيرايې څانګه
reception, welcome|هرکلي
recess|تفريح
recession|رکود
Rechargeable Batteries|هغه بطري ګانې چې د بيا چارجولو وړ وي
reciprocal|متقابل
recite|اقرا
recite Quran|قرات کول
recite the Holy Quran|قرآن قرات کول
reciting|مغازله
recitor|قاري
reckoned from the Hegira|هجري
reclame|ريکلام
recluse|منزوي
recognition |پيژندنه
Recognition Signals|د پېژندلو اشارې
recognition, identification|پيژند ګلوى
recognize|پېژندل
recommedation|سپارښت
recommend|توصيه کول
recommend|پيشنهادول
recommendation|توصيه
recommendation|سپارښت
recommendation|سپارښتنه
Recommendation|توصيه / توصيې 
recommendation, approval|امر
recommendation, proposal|تجويز
recommendations|سپارښتينه
Recon|کشف (د دښمن د قوتونو په هکله لومړنۍ سروې)
reconcile|پخلاکول
reconciled|پخلا
reconciliation|پخلا توب
reconciliation|روغه
reconciliation|مصالحه
reconciliation|پخلاینې
reconciliation|بيا پخلاينه
reconciliation|پخلاينه
reconciliation|پخلايني
reconciliation|جوړه
reconciliation|روغه جوړه
reconciliation, peace|روغه
reconnaissance|څرک
Reconnaissance|کشف (د دښمن د قوتونو په هکله لومړنۍ سروې)
Reconnoiter|کشف کول/ د کشف اجرا کول
reconnoiterer|کشاف
reconstruct|بيا رغول
reconstruction|بيا رغونه
reconstruction|بيارغنيزو
reconstruction|ابادۍ
reconstruction|بیا جورولو
record|ريکارډ
record|ريکاټ
record|شبت
record|شبتول
record|عکسي کول
record|ثبت
Recorder|ثبتونکی
records, resume'|تاريخچه
recourse|تدابير
recourse|تدبير
recover|روغېدل
recover|روغيدل
recovery|بريا
recovery|شفا
Recovery Plan|د راغونډولو يا بيا لاسته راوړلو پلان
recreation|تفريح
recreational|تفريحي
recruit|جلبول
recruit|جلبي
recruit|عسکرۍ ته نيول
recruit|جلبى / نوى عسکر
recruiting headquarters|د جلب او جذب قومندانۍ
recruitment|جلب
recruitment|جلب او احضار
recruitment|جلب او احضار/
recruits|جلبيان
rectangle|مستطيل
rectangle|مستطيل/
rectangular plot|څير
rectum|پنده
recurrence|بابېړی
red|سره
red|سور
red|سوربوڼی
red|ګورجه
red|لال
red|سور/سره
Red Crescent|سره مياښت
red crescent|سره مياشت
red cross|سور صليب
red cross|سور ميايسب
red cross|سړه مياشت
red cross|سورصليب
red flag|سور بيرغ/
Red Lens|سري عدسيي
Red Panels|مستطيل شکله تختې چي په سرو توکړو پوښل شوي وي
red skin|سورپوستی
reddish|سورنجن
redness|سوروالی
redness|سروالی
reduce|لږول
Reduced Charge|ناقص حق سوق يا ناقص چارج
reduction|تنقيص
reduplication|تضعيف
reed|درمه
reed|دروی
reed|درګه
reed|کړک
reed|کړکی
reed|نی
reed|لوخې
reedbed|درمول ډل
reference|رجوع
reference|مرجع
referendum|ريفرنډم
referendum, finding of ideas|سنجونه
referred|راجع
referred|محول
refinery|تصفيه خانه
refining|چاڼيز
reflect |منعکوس
reflected|منعکس
reflection|منعکس
reflection|انعکاس
reflection|اندېښنه(ې)
reflection / answer|غبرګون 
reflection, reaction, echo, reverberation|انعکاس
reflection, thought, daydream|چرت
Reflex Action|عکس العمل
reform|ريفورم
reform|اصلاح
reform, correction|اصلاحات
reformatory|دارالتأديب
reforms|اصلاحات
refrain from|ډډه کول
refraining|ډډه
refreshed|هوسا
refridgerator|يخچال
refrigerator|ريفريجرېټر
refrigerator|يخچال
refrigerator |يخچال/
Refuel/Rearm Points|د  تيلو اووسلو بيا اخسيستلو نقطې 
refuge|هجرت کول
refuge|هجري
refuge, shelter|پناه
refugee|کډو
refugee|مهاجر
refugee|کډوال
refugee|کډوال / مهاجر
refugee|مهاجر/مهاجره
Refugee / Refugees|مهاجر / مهاجرين 
Refugees|کډوال 
refusal|منع
refusal|موانع
refusal|نټه
refusal|انکار
refusal|ډډه
refusal, prohibition, forbidding, prevention|منع
refuse|تفاله
refuse|ګيچه
refuse|ډه ډه کول
refutation|تکذيب
refute|تکذيبول
regard|لحاظ
regard|مراعات
regard|ملحوظ
regard|توجه 
regard, observance, favor|مراعات
regarding|اړوند
regarding|په هکله
regime|رژيم
regime|دولت
regiment|غنډ
regiment|غونډ
Regiment|غنډ
region|سيمه
region|ملک
region|منطقه
region|ولکه
region|حوزه
region|ساحه
region|ناحيه
region|ځای
region, district, territory|علاقه
region/part|ناحیه
regional|سيمه يين
regional|منطقوي
regional|سيمه ايز
regional|منطقه
Regional|سيمه ايزه
regional|سيمه ييز
regional|منطقوى
regional|سيمه يز
regional |سيمه ييزه (سيمه ايزه)
register|وارده اوصادره
register|ثنتول
register|ثبت
registered|ثبتول
registered|ثبتېدل
registered|راجستري
registered, recorded (aj)|ثبت شوى
registration|ثبت
registration|جوازسیر
registration|اندراج
regress|ارتجاع
regret|افسوس
regret|ترتاب
regret|ټاب
regret|حسرت
regret|تاسف کول
regret|افسوس کول
regret|متاُسف
regretable|اسفناکه
regular|باقاعده
regular|منظم
regular|عادي
regular|عادی
regular|منظمه
regular|ساده
regulate|عيارول
regulation|اساسنامه
regulation|اصولنامه
regulation|لائحه
regulations|مقررات
regulations|لايحه
Rehearsal|تمرين
reign|قبضه
rein|واګه
reindeer|ګوزن
reindeer|ګوزه
Reinforced|تقويه شوی
reinforced (solid) houses|پاخۀ کورونه
reinforcement|تحکيم
Reinforcement|تقويه/ ملاتړ 
reins|ملونه
reject|ترديدول
reject|ردول
reject|ردکول
reject|فسخ کول
reject|رد
rejected|ردي
rejected|مردود
rejected|مسترد
rejection|رد
rejection|انکار
rejection|ترديد
rejoinder |غبرګون 
relaince|اتکا
relashions|تعلقات
relashionship|تعلق
related|منسوب
related|مربوط
related|اړوندی
related (areas, matters), suburbs|مربوطات
related, relevant|مربوطو
relation|نسبت
relation|ارتباط
relation|اریکی
relation|رابطه
relation|لحاظ
relation|اړيکی
relation|ارتباط/
relation|تړاو
relation|اړيکى
relation ship|قرابت
relation, connection|تړاو
relation, relationship|اړيکه
relational|ارتباطي
relational, connective|ارتباطي
relations|مناسبات
relations|راابط
Relations|اړيکى
relations|اړيکې
relations|روابط
relationship|ارتباط
relationship|خپلوي
relationship|اړيکه
relationship|اړیکې
relationship|تعلق
relationship|معامله
relationship|رابطه
relationship|روابط/
relationship|روابط
relationship, communication, connection|ارتباط
relative|خپل
relative|خېښ
relative|عزيز
relative|قريب
relative|نسبي
relative|نسکير
relative|دوستان
relative|تربور
relative|خېښ/خېښه
relative of half blood|ناسکه
relative, concerned, respective|مربوطه
relative2|خپل/خپله
relatives|اقربا
relatives|خپلوان
relatives  on the side of one's father|پلرگنۍ
relativity|نسبيت
relax|ارام کول
relax|استراحت کول
relax|دمه کول
Relaxed|هوسا 
release|خلاصون
release|خوشی 
release|خوشی کول
release|راوتل
release|ايله کول
Release Point|د خپرېدو يا تيتېدو نقطه 
Release Stick|د لرګې ميله چې د ماشې د خوشي کولو لپاره کار ترينه اخيستل کېږي 
release, announce, make public|په ډاګه کول
released|پریسودل شوی
released|خلاص
reliable|باوري
reliable|معتمد
reliable|موثق
Reliable|باورى
reliable|ډاډمنه
reliable |مؤثق
reliable / precise|مؤثق
reliable, precise|موثق
reliable, trustworthy|باورى
reliance|اعتماد
relics|اثار
relief organization|خيريه موسسه
religion|دين
religion|مذهب
religion|دين/
religion|مذهب/دين/
religions|اديان
religious|دينداره
religious|ديني
religious|متدين
religious|مذهبي
religious|ديندار/دينداره
Religious|دينى
religious|مذهبي/
religious|مذهبی / ديني
religious decree, fatwah|فتوا
religious duty|ايمانى
religious examiner|محتسب
religious institution|دارالعلوم
religious law|شرعيات
religious man|ديندار
religious practices|مذګبي کړﮤ وړﮤ
religious reward|ثواب
religious scholar|مولان
religious scholar|موالانا
Religious scholar  |ديني عالم 
religious scholars|علماى کرام
religious scholars|علماي کرام
Religious schools|مذهبى مدرسې 
religious study|دينيات/
religiously prohibited|مردار
religiousness|ديندارى
religlously prohibited|حرام
relive|هواريدل
rely on|ډه ډه لګول
rely on|تکيه کول
relying|استناد
remaining|باقي
remaining|پاته
remaining|پاتې
remaining|مانده
remaining balance, remainder, other part|باقي
remains of a human|لاش
remark|تبصره
remark|يادونه
remark|تبصره کول
remark/note|/يادونه
remedy|سرب
remedy|علاج
remedy|هوبله
remedy|وزله
remedy|/چاره
remedy |چاره
remember|يادول
remember|یادیدل
reminiscence|خاطره
remnants|بقايا
remnants, remaining|پاته شونې
remote|برسير
remoteness|ليريتوب
remoteness|ليريوالی
removal|رفع
remove|ايستل
remove|کښل
remove|ويستل
removing weapons|خلع سلاح
remuneration|حق الزحمه
render|شاړول
Rendezvous Points|د ملاقات نقطې
renewal|تجديد
renewal|نوى کونى
renewed|مجدد
rennet|سېلی
renovation|تجدد
renown|ښکارندوی
rent|باړه
rent|کرايه
rent|په کرايه روکول
rent|کرا
rent|کرايه کول
rent|کرايي نيول
rent, contract|اجاره
rent, fee (taxi), fare|کرایه
rental|کرايي
rental|کرايي/کرايي
renw|تجديدکول
reopen|پرانيستل
reopen|خلاصول
Reorganization|بيا جوړونه، بيا سمونه
repair|  
repair|ترميمول
repair|مرمت
repair|ترميم کول
repair|جورول
repair|بيا رغول
repair|ترميم
repair job|ترميم کاري
repair job|/ترميم کاري
repair shop|ورکشاپ
repair, mend, amendment, restoration|ترميم
repairs|مرمت
reparations, restitution|جبران
repatriate|راستنېدل
repeat|تکرارول
repeat|تکرار کول
repeated|مکرر
repeatedly|څو (څو) ځلې
repeatedly|دم ګړۍ
repelling|دفع
repentance|توبه
repentant|توبه ګار
repentence|استغفار
repetition|تکرار
report|رپوټ
report|خبر ليک
report|راپور
report|راپور ورکول
report|راپور/
Report|رپوټ / رپوټونه
Report / Reports|راپور / راپورونه 
reportage|راپورتاژ
reporter|راپورتر
reporter|رپوټچي
reporter|خبريال
reporter|خبريال/خبرياله
reporter|نمايده
reporter, long-tongued, talkative, entertaining|خبر لوڅ
reporters|خبریالانی
repose|مالېدل
reposeful|اسوده
represent|نمايندګي کول 
representation|کفالت
representation|نمايندګي
representation|نمايندگي
representation|استازيتوب
representative|کفيل
representative|استازيتوب
representative|استازی
representative|نماينده
representative|نمايده
representative|استازى
representative|نماینده(ګان)
representative|وکيل
representative |استازى
representative(s)|هيات(ان)
representatives|وکيلانو
representatives|مسيولانه
representatives|نمايندهګان
reprimand|توبيخ
reprimand|دګل
reprimand|رټل
reproach|غندنه
reproduction|تکثر
reproduction|تناسل
reprove|غندل
republic|جمهوري
republic|جمهور
republic|جمهوریت
republic|جمهوريت
republican|جمهوريت
republican|جموريخواه
republican|جمهورى
republics|جماهير
repulsive|دافع
repulsive|ناوړ(ه)
reputable person|ننګيالي
reputation|شهرت
request|درخواستي
request|هيله
request|درخواست
request|درخواست کول
request|وړاندیز
request|تقاضا
request|وړانديز
request|پيشنهاد
request|خواست
request|خواهش
request|غوښتنه
request, proposal|خواستګاري
requesting|متمني
requiem|پاتا
require|ايجابول
required|ملزوم
required|بايد
required|مجبور
required|ضرور
required|لازم/ضروري/لازمه/ضروري
required subjects|لازمى 
required, necessary|لازمه
requirement|اصول
requirement|ضرورت/ شرط/اړتيا
requirements|اړتیا
requisites|لوازم
requisition|درخواست
requisition|تقاضا
Rerouted Figure 8 Knot|له عين مسير څخه تېره شوې 8 رقم شکله غوټه 
rescind|فسخ کول
rescue|خلاصول
rescue|ژغورل
rescue|نجات
rescue workers|د ژغورنې کارکونکى
Rescue/ Saving|نجات 
rescuer|د نجات عمله
research|تتبع
research|تحقيق
research|څېړنه
research|ريسرچ
research|څيړل
research|څيړنه
research|څرک
research  |څیړنه
researcher|څېړونکی
researcher|متتبع
researcher|محقق
Resection|د دوو معلومو نقطو په اساس د خريطې پر مخ د موقعيت تعينول  
reserve|احتياطي
reserve|بوک کول
reserve|ريزرف کول
reserve|ريزرف نيول
reserve|فالټو
reserve|زيرمه
reserve|زخيره
reserve|ذخيره
Reserve|د احتياط قوه
reserved|کورغ
resevior|مخزن
reside|اوسېدل
residence|استوګنځی
residence|سکونت
residence|هستوګنځی
residence|مېشت ځاى
residence |استوگنه
residence / stay|استوگنه
residence, dwelling place, abode|استوګنځي
residence, stay (noun)|استوګنه
resident|استوګن
resident|مقيم
resident|اوسېدونکی
resident|ميشت خلک
resident|مېشت/ه
resident|ښاري(ان)
resident|ميښته
resident|اوسېـدونکى/اوسېـدونکي
resident|مېشته
residential areas|مېشت ځايونه
residing|ميشت
residing (aj)|ميشتو
residue of butter|سرنجه
resignation|استعفا
resigned|مستعفی
resistance|مقاومت
resistance |مقاومت/
resistance, opposition|مقاومت
resistence|مقاومت
resolute|همتناک
resolution|پرېکړه
resolution|تصميم
resolution|عزم
resolution|قطعنامه
resolution|فیصله
resolution|فيصله
resolution|/فيصله
resolution|پریکړه  / فېصله
resorting|توسل
resorting|متشبث
resorting|متوسل
resource|زيرمی
resource|توښه
resources|پیداوار
resources|وسايل
resources|/زېرمې/ذخيرې
resources|سهولتونه
respect|احترام
respect|پت
respect|حيث
respect|درناوی
respect|درنښت
respect|قدرورکول
respect|لمانځنه
respect|نمانځنه
respect|قدر
respect|قدر کول
respect|حيثيت
respect|عزت
respect|احترام / عزت / قدر
respect|احترام/
respect|اخترام
respect|تاشيف
respect|درناوى/
respect|شرف
respect|مراعت
respect|درناوى
respect  |درنښت
respect, heaviness, weight, dignity|درنښت
respect, regard to|درناوى
respected|قدرمن
respected|مخاوی
respected|ښاغلی
respected|معتبر
respected|حثيت
respected|محترم
respected one|کرام
respected person|ننګيالي
respected, important|نازولى
respectful|رويدار
respectful |وساته
respectful title|لالا
respects|درناوی
respiration|تنفس
respiration|وږمه
respiratory|تنفسى
respire|سا ايستل
respire|نفس ايستل
respite|سياله
respite|مهلت
response |غبرګون
responsibilities|مسيولين
responsibility|ذمه
responsibility|مسوليت
responsibility|مسووليت
responsibility|زمه واري
responsibility|پړه
responsibility|مسئوليت
responsibility|زمه وار
responsibility|مسئوليت / زمه وارى
responsibility|مکلفات
responsibility|مکلفيت
responsibility of organizing|امتظام
responsibility, accountability|مسووليت
responsible|ذمه وار
responsible|مسول
responsible|مسوول
responsible|مسﺋول
responsible|مکلف
responsible|مسؤل/مسؤله
responsible|مسئول (مسئولين)
responsible|مسئول/ ...ـه/مسئوله
responsible|مسيول
responsible one|زمه وار
responsible people|عاملين
responsible, in charge|مسولو
responsible, in charge, encargado|موظفين
responsibles|مکلفين
Responsiveness|چمتووالی یا فوري عکس العمل ښودنه 
rest|استراحت
rest|دمه
rest|راحت
rest|قرار
rest|استراحت کول
rest|دمه کول
rest|ټيکاو
rest (a small stop)|دمه
Rest Paddles|د بيلچو يا پاروګانو درول 
rest, relexation|استراحت
Restated Mission Statement|د ماموريت د څرګندونې بيا توضيح کړل شوې بڼه
restaurant|رستوران
restaurant|رستورانت
restaurant|رستوران/
restful|ارام
restive|ناقراره
restless|ناټکه
restrctions|قيودات
restrict|تحديدول
restricted|مقيد
restricted|نظربند
restricted|محروم
restricted |منحصر
restriction|بنديز
restriction, imprisonment|قيد
restrictions|قيود
restrictionses (plural of plural /boggle)|قيودات
Restrictive Fire |محدودونکي يا بندېز لګونکي انداختونه
result|نتيجه
result|پایله
result|لامل
result|پای
result|انجام
result|ثمره
result|عواقب
result|/نتيجه
result|پايله
result|پايلې
result|ميشتو
Result / Consequence|نتيجه / نتيجې 
resulting|منتج
resulting|منجر
results|نتيجه
results|نتايج
resume / biography|سوانع
Resupply|بيا اکمالول
resurrection|قيامت
retail|پرچون
Retain|د سترګو شبکيه
retaliation|بدل، غچ/
retina|شبکيه
retire|تقاعديدل
retire|تقاعد کول
retired|متقاعد
retired|تقاوت/ تقاعد
retired|تکاعد
retired|متقاعد/تقاعد شوی/متقاعده/تقاعد شوې
retirement|تقاعد
retirement|تقاعد/
Retrans Freq (Retransmission Frequency)|د بيا لېږلو فريکانس
Retrograde|شا ته تګ (عقب نشينی)
retrogressive|قهقرايي
return|راستانه
return|راستنېدل
return|ستنيدل
return|مراجعه کول
return fire|متقابل ډزې
returned|ستون
returned fire|ځوابى ډزى
returnee|راستنېدونکی(ې)
returning|اعاده
returning|مراجعت
returning|مراجعه
returning|مراجع
returning refugee|راستنېدونکی(ې)
reveal|رابرسېره کول
reveal|راپيدا کول
revealing|افشا
revelation|وحی
revelry|عشرت
revelry|عياشي
revenge|بدله
revenge|کسات
revenge|بدل
revenge|خج
revenge|غچ
revenge, vengeance|بدل
revenge, vengeance|غچ
revenge, vengeance, retaliation, reprisal|انتقام
revenge/exchange|بدل/
revengeful|ضدي
reverence|تعظيم
Reverse Planning|چپه (معکوس) پلان جوړول
reversed|معکوس
review|مرور
review|تکرار
revision|تجديدنظر
revisionism|ريويژنيزم
revival|احياء
revolt|اغتشاش
revolt|بلوا
revolt|بغاوت
revolt|طغيان کول
Revolt |بغاوت / بغاوتونه 
revolution|انقلاب
revolution|پوځي بدلونو
Revolutionary War|انقلابي جنګ
reward|اجر
reward|ثواب
reward|مکافات
reward|جايزه
reward/compensation|خير/
rewards|جایزي
RFA (Restrictive Fire Area)|د محدودونکي اور (انداخت) ساحه
RFL (Restrictive Fire Line)|د محدودونکي اور (انداخت) خط
rhetoric|معاني
rheumatism|روماتيزم
rhinoceros|کرګدن
Rhodesia|روډيشيا
rhubarb|رواش
rhubarb|سخارېل
rhumed|مقفا
rhumed|مقفی
rhyme|قافيه
rhythmical|موزون
rial|ريال
rib|پوښتۍ
rib|پښتۍ
ribbon|پيته
ribs|پوښتي هاډوکي
ribs|پښتۍ
Ribs|پوښتۍ
rice|مستاوه
rice|ورجي
rice|وريژي
rice|ورېجې
rice|وريجې
rice|وريځې
rice (uncooked)|وریجو
rice cooked in milk|شيربرنج
rice dish|لوشکی
rice plant|شولی
rice pudding|فرني
rice pudding|فريني
rich|بډای
rich|پيسه داره
rich|ثروتمن
rich|دولتمن
rich|سرمايه دار
rich|شتمن
rich|غني
rich|مستغني
rich|موړ(مړه)(ماړه)
rich|بډاي
rich|پيسدار / مالدار
rich|متمول
rich|متمول = بډاى
rich|معتبر/معتبره
rich               |مالدار/ مالداره/مالداره
rich people|ماړه خلک
rich, rich man|بډاى
rich, wealth|پيسه داره
riches|ثروت
richness|بډايي
Richter scale|زلزله سنج
ricksha|ريکشا
riddle|چيستان
riddle|کيسۍ
riddle|معما
ride|سپرېدل
ride|سپريدل
ride (a horse)|ځغلول
ride (command)|سپور شه
ride on|سپرېدل
Ride the Boat Over|د وړې کشتۍ بيرته سمول يا راسته کول
rider|سپرلۍ
riders|سپرلي
ridge|پنډل
Ridge|د غونډيو لړ يا سلسله يا مرتسم
ridicule|تمسخر
ridicule|مسخره
riding|سپور
riding, on|سپور
rifle|بوړی
rifle|ټوپک
rifle|ټوپک/
rifle  pit|مورچل
rifle  pit|مورچه
rifle pit|سنګر
Riflemen|ټوپک والا، توپچي
Rig Veda|ريګويدا
Rigged|محکم تړل شوي پړي يا مړاندې
Rigging|د محکم تړلو وسيلې 
right|حق
right|سم
right|ښی
right|صحيح
right|حقوق
right|صحی
right|حق/
right|راسته / ښى
right|راسته / ښى/راسته / ښۍ
right (correct), straight|سم
right (direction)|ښی
right (my right), derecho|حق
right (to do something)|حق/
Right / Rights|حق / حقوق 
right and wrong|ضد او نقيض
right angle|قايمه زاويه
right away|وار د واره / وار په واره
right away, immediately|سمدلاسه / سمواره
right away, straight|راساً
right now|فې الحال/
right now|همدا اوس
right now, at the moment|همدا اوس
right side|راسته
right side, right wing, political right hand side|ښي لاسي
right up to|ان
right wing|ښى لاسى
right(s)|حق(وق)
right, correcto|سم
righteousness|ايمان داري
rightfulness, legitimacy|حوانيت
rights|حقونه
rights|حقوق
rigid|تنګ نظره
Rigors of Combat|د محاربې سختۍ يا مشقتونه
rim|مورګه
rimed|مسجع
ring|ګوتکۍ
ring|زنګ
ring|ګوته
ring|انګشتری
ring  finger|ګنځه
ring finger|ګانزه
ring of grass or cloth|منجل
ring of grass or cloth|منجله
ring of grass or cloth|منجيله
rinse|کنګالول
rinse|مرييل
rinse|نمرېيل
rinsed|کنګال
riot|شورش
riot|طغيان کول
rip|څیرل
ripe|پاخه
ripe|پوخ
ripen, product|ثمر
ripens, cooks|پخیری
ripped|څېري
rise|څرک وهل
rise|لوړېدل
rise|لوړيدل
rise cooked by steam|دمپخته
rise up!|پاڅه
rising|صعودي
rising|څرک
Risk Factor|د خطر يا وېرې عامل
risky|جانباز
rival|حريف
rival|رقيب
rival|سيال
rivalary|ډغره
rivalry|تربګني
rivalry|رقابت
rivalry|سيالي
rivalry|تربورکلوی
rivalry|دښمنی
rivalry|رقابت(ونه)
rivalry, competition|سيالى
Rivalry, Competition|سيالى 
river|درياب
river|رود
river|سين
river|سيند
river|رود / سيند/
river|سيند/
river|سیند
river bank|ساحل
River Banks|د سيند غاړې 
riverside|رودغاړه
rivulet|شوبله
rivulet|ناله
rivulet|لښته
road|سرک
road|سړک
road|واټ
road|سَـړک/
road |معبر
road metal|کرېړ
road side|/د سړک غاړه
road, street|کوحه / سرک
roar|غورېدل
roar|غړم
roar|غړومب
roast meat|کبابول
rob|چورول
rob|لوټ کول
robber|لاروهونکی
robber|لاروهونی
robbery|داړه
robbery|داړه ماري
robbery|شوکه
robbery|لوټونه / رهزني
robbery, theft, cheating, deception|ټګي
robbery/stealing|/غلا
robbing|لاروهنه
robe|خرقه
robe|چپنه
rock|پرښه
rock|ډبره
rock|سنګ
rock|کاڼی
Rock Drill|د ډبرې مشق
rock used for pounding |غرګی
rocket|توغندی
rocket|تيږه
rocket|راکټ
rocket|راکټ/
rocket|توغندى
rocket launcher|راکټ ويشتونکى
rocks|ډبرې
rocks|تیره / کانی
rockslide|د ډبرو ښويدل
ROE (Rules of Engagement)|د جګړې قاعدې يا قوانين
role|پارټ
role|رول
role|نقش
role model|مثال
roll|تولېدل
roll|رغړول
roll|رغښتل
roll|غړيدل
roll|ګېلول
roll|ګېلېدل
roll|لغښتل
roll|لوخړول
roll|لوغړول
roll|لوغړېدل
roll|غړول
roller|رول
roller|لغړندوکی
rolling|رغړند
rolling|رغښت
romance|مينتوب
Romania|رومانيه
Rome|روم
roof|بام
roof|چټ
roof|بام/
roof/ceiling|چت/ بام/
rook|رخ
room|خونه
room|کوټه
room|اطاق
room|/کوټه
room|اوطاق
room |خونه
room heated by burrning fuel in structure built bunder the floor|تاوه خانه
room, space|ګنجايش
roommate|هماطاق
rooms|خوني
Roost|د مرغانو ځاله يا د خوب ځای
rooster, early riser|بانګى
root|بېخ
root|جذر
root|ريښه
root|نيله
root|ورېښکۍ
root|ولکۍ
root|ولګۍ
root|وېخ
root|بیخ
root|نيله / ريښه
root of a tree|مونډ
root, origin, essence|اصل
roots|زېلۍ
roots|ولې
roots|جرړى
Roots|ريشې يا جرړې
roots, base|بيښ
rope|تناو
rope|رسۍ
rope|رسي
rope|پړى
rope|رسى
rope made of goat hair|ورګينه
rope made of or cotton|خپۍ
rope made of wool|وړګينه
rope or chain for measuring land,ect|تړاو
Rope Paid Out or Paid In|د رسۍ هغه مقدار چې پرېښودل  کېږي يا را ټولېږي 
Rope Puller|هغه څوک چې رسۍ کشوي
Rope Tightener|هغه څوک چې رسۍ محکموي
rope, connection|ټراو
rose|ګل ګلاپ
rose|ګلاب
rose|ګلاپ
Rotating Squads|نوبتي دلګي
Rotating the Lead|د رهبري نوبتي تعويضول (بدلول)
rotation|دورى
rotor|پروانه
rotten|پوده / وراسته
rotten|وروست/ورسته
Rotting|خوسا کېدل، ورستېدل
rough|شډل
rough cloth with floral designs|څونۍ
rough copy|مسوده
rough copy|مينوټ
rough draft|مسوده
Rough draft|مسوده / مسودې 
rough play|خرمستي
rough/aggressive|خشن/خشنه
roughly|څه د پاسه
round|دايروي
round|شاوخوا
round|غونډ
round|ګردی
round|ګړد
round|دوره
round|ګرد
round|ګرد/ګرده
round about|ګېرچاپېر
round around (dance)|ګډېدل
round loaf of bread|نغن
round loaf of bread baked in oil |څوکۍ
round piece of wood used as roller for moving the upper mill  stone|ارمونی
round rock|کاڼی
round thick block of wood|لاډونی
Round Turn With Two Half Hitches|د دوو نيمه کړيو په اچولو سره يو ګرد پيچ 
round-a-bout|چوک
rounded|ګرد
rounded|ګردی
roundleaved mallow|مرغۍ ډوډۍ
route|مسير
Route|خط السير، مسير
routine|اموخت
rover|پالندوی
roving|ګرځند
row|رديف
row|رېړ
row|صف
row|قطار
row|کتار
row|قطار/
Row, Line, Convoy|قطار
royal|سلطنتي
royal|شاهي
royal|ښاهى
royal, of the king|شاهى
royalty|حق الامتياز
RRP (Reentry Rally Points)|د بيا داخليدو په منظور د تياري نيولو نقطه
RTO (Radio Telephone Operator)|د بيسيم او مخابرې ﺁپريتر
rub|سروول
rub|سرويل
rub|سولول
rub|سوليدل
rub|موږل
rub|موښل
rub|مږل
rub|مښل
rub hard|زدوول
rubbage|امبار
Rubbed Vegetation|توږل شوي يا موښل شوي شنېلې (نباتات)
rubbing|مالش
rubbish|برغزووی
rubbish|ورخړ
ruby|لعل
ruby|ياقوت
Ruck|چانټه
rude|بې ادبه
rude|بې تربيي
rude|سپين سترګی
rude|لړاک
rude|سپين سترګۍ
rude|رډ
rude|بې ادب
rude|ګستخ
rude |بدسترګی
rude |برند
rude, mean|ګوستاخ
rudeness|بې ادبي
rudeness|سپين سترګي
ruffian|ډانګه يي
rug|ټغر
rug|قالينه
rug|غالۍ
rug|فرش
Rug|غالی
rug|قالين/قالينه/غالۍ
rug|قالین
rug (hard braided rug)|کمبله
rug, carpet|غالي
ruin|خرابه
ruin|کنډر
ruin|کنډواله
ruin|لتاړول
ruin|مخروبه
ruin|نړانده
ruin|ويجاړول
ruin|ويرانه
ruin|ويراني
ruin/destroyed building|/کنډواله
ruination|بربادي
ruined|برباد
ruined|پوپنا
ruined|چټ
ruined|لتاړېدل
ruined|وران
ruined|کنډ او کپر
ruined|کنډ و کپر
ruined|خراب(ه)
ruined|ړنګ(ه)
